config_id,mean_sharpe,min_sharpe,worst_max_drawdown,sum_pnl_usd,sharpe_2021_2022,sharpe_2023_2025,sharpe_2026,maxdd_2026,trades_total,corr_logic,corr_window_xag,corr_min_abs_xag,corr_flip_lookback_xag,corr_max_flips_xag,corr_window_eur,corr_min_abs_eur,corr_flip_lookback_eur,corr_max_flips_eur
70040da30a43,3.4938785373991963,-0.004014375782751334,-0.1866482539088089,3975.811999999996,-0.004014375782751334,2.649012950805198,7.8366370371751435,-0.17924636840452068,1204,or,40,0.1,75,3,50,0.2,100,2
ac1e63e75735,3.3836442927931256,0.09434127297908322,-0.20990034155243154,4019.9410000000003,0.09434127297908322,2.564799393666474,7.49179221173382,-0.20990034155243154,1204,or,40,0.1,150,3,100,0.2,25,0
09363361276c,2.0644745008028687,0.1197926866312558,-0.18519817263652016,1369.4580000000014,0.1197926866312558,1.1368905930415973,4.936740222735753,-0.18519817263652016,664,and,40,0.35,150,6,50,0.3,50,2
7414e954e9b0,1.9944943246400937,-0.18349452977133668,-0.20035238965998092,2119.123000000004,-0.18349452977133668,1.9841368507485508,4.182840652943066,-0.19183146008026086,833,and,60,0.1,150,4,75,0.25,75,3
c4de44ccedb0,3.5819287649911105,0.16842370425553185,-0.14312861044643022,3217.8464999999997,0.16842370425553185,2.6252253912396197,7.952137199478181,-0.14312861044643022,1195,or,50,0.2,150,4,40,0.4,75,0
231765b8f139,2.375892699090349,-0.21115917679162863,-0.20821105898056813,3068.4640000000036,-0.21115917679162863,2.4716745188981752,4.8671627551645,-0.20821105898056813,886,and,50,0.3,50,2,50,0.2,25,3
6a477f1f248b,3.5319887386575832,0.3818277691510605,-0.20990034155243154,4634.441999999997,0.3818277691510605,2.642252987901618,7.571885458920072,-0.20990034155243154,1204,or,40,0.1,50,0,75,0.1,75,5
51d6357f98da,1.6628480627460176,-0.03155400073674808,-0.18329986771313322,1294.797000000005,-0.03155400073674808,1.5200860600876664,3.500012128887134,-0.18329986771313322,546,and,50,0.35,150,0,30,0.3,100,2
1e6ed404a9a5,3.4887378524261305,0.01067218095293831,-0.15508812879817957,3293.880000000003,0.01067218095293831,2.408831249932633,8.04671012639282,-0.14312861044643022,1205,or,100,0.15,150,2,40,0.35,75,6
42f3774ebc2f,1.9449307209655815,-0.06958737717999276,-0.1934637109655879,1478.3959999999993,-0.06958737717999276,1.5298472291701393,4.374532310906598,-0.18519817263652016,578,and,75,0.2,25,4,40,0.3,75,1
43b0c92d978b,3.6920402495480986,0.20414661244532548,-0.17141649502392853,4316.333499999997,0.20414661244532548,2.598744637391559,8.273229498807412,-0.1597466947042806,1205,or,100,0.15,50,6,30,0.2,75,6
962e6b1e9fe2,2.824334185443467,0.33069068639587773,-0.2086567164179154,4097.944000000004,0.33069068639587773,2.5665043949021267,5.575807475032398,-0.2086567164179154,1060,and,30,0.2,50,0,100,0.1,75,5
706f5f5fa1e5,1.6527183599935096,-0.5381279640500526,-0.2763324801620536,1550.8699999999972,-0.5381279640500526,2.073968350182489,3.4223146938480924,-0.10418228436915589,616,and,60,0.2,25,0,50,0.25,150,0
a36df18da677,2.4996671163739683,-0.19308437425277294,-0.1786772931063656,2206.4979999999923,-0.19308437425277294,2.02498905129347,5.667096672081208,-0.17212156367025766,643,and,50,0.2,75,6,40,0.25,150,2
9abb777ba267,1.7357698394944479,-0.14885974835505592,-0.17779462388620393,1269.6550000000075,-0.14885974835505592,1.6445868717449865,3.711582395093413,-0.17779462388620393,465,and,100,0.3,150,5,40,0.4,100,5
4efa994e7a96,3.1982037022880685,0.09737098814344859,-0.20990034155243154,4084.735000000003,0.09737098814344859,2.6572087576981467,6.84003136102261,-0.20990034155243154,1196,or,50,0.25,100,1,75,0.2,50,4
