variant,period,peak_ts,trough_ts,recover_ts,depth,duration_bars,time_to_trough_bars
baseline_no_shock,2021-2022,2021-01-04 18:15:00+00:00,2021-01-04 18:20:00+00:00,2021-01-04 19:00:00+00:00,-0.0026159470181952305,9,1
baseline_no_shock,2021-2022,2021-01-04 19:00:00+00:00,2021-01-04 19:10:00+00:00,2021-01-04 23:20:00+00:00,-0.008251963359157677,40,2
baseline_no_shock,2021-2022,2021-01-04 23:25:00+00:00,2021-01-05 15:15:00+00:00,2021-01-20 09:10:00+00:00,-0.028660082907806417,3105,190
baseline_no_shock,2021-2022,2021-01-20 09:20:00+00:00,2021-02-01 15:55:00+00:00,2021-03-11 02:10:00+00:00,-0.061426886491599664,9802,2287
baseline_no_shock,2021-2022,2021-03-11 02:10:00+00:00,2021-03-11 02:15:00+00:00,2021-03-11 02:25:00+00:00,-0.000408364636404146,3,1
baseline_no_shock,2021-2022,2021-03-11 02:35:00+00:00,2021-03-11 02:55:00+00:00,2021-03-11 03:15:00+00:00,-0.004425071642163214,8,4
baseline_no_shock,2021-2022,2021-03-11 03:35:00+00:00,2021-03-11 04:35:00+00:00,2021-03-11 05:35:00+00:00,-0.006192937473715299,24,12
baseline_no_shock,2021-2022,2021-03-11 05:35:00+00:00,2021-03-11 05:40:00+00:00,2021-03-11 05:50:00+00:00,-0.0020644163785431546,3,1
baseline_no_shock,2021-2022,2021-03-11 06:00:00+00:00,2021-03-11 07:00:00+00:00,2021-03-11 07:25:00+00:00,-0.006376739879655702,17,12
baseline_no_shock,2021-2022,2021-03-11 07:40:00+00:00,2021-03-11 07:55:00+00:00,2021-03-11 08:10:00+00:00,-0.0014749830921271245,6,3
baseline_no_shock,2021-2022,2021-03-11 08:10:00+00:00,2021-03-11 08:15:00+00:00,2021-03-11 08:20:00+00:00,-0.0007041317410261261,2,1
baseline_no_shock,2021-2022,2021-03-11 08:20:00+00:00,2021-03-11 08:25:00+00:00,2021-03-11 08:30:00+00:00,-0.0015685073760286494,2,1
baseline_no_shock,2021-2022,2021-03-11 08:35:00+00:00,2021-03-11 08:40:00+00:00,2021-03-11 08:45:00+00:00,-0.0009940205104366218,2,1
baseline_no_shock,2021-2022,2021-03-11 08:50:00+00:00,2021-03-11 09:10:00+00:00,2021-03-11 09:15:00+00:00,-0.0023658352664873705,5,4
baseline_no_shock,2021-2022,2021-03-11 09:15:00+00:00,2021-03-11 10:05:00+00:00,2021-03-15 01:15:00+00:00,-0.012754808356485792,468,10
baseline_no_shock,2021-2022,2021-03-15 01:15:00+00:00,2021-03-15 01:20:00+00:00,2021-03-15 01:25:00+00:00,-0.0015524413144639704,2,1
baseline_no_shock,2021-2022,2021-03-15 01:30:00+00:00,2021-03-25 07:15:00+00:00,2021-04-15 14:10:00+00:00,-0.07060567135748941,6224,2277
baseline_no_shock,2021-2022,2021-04-15 14:20:00+00:00,2021-04-15 14:25:00+00:00,2021-04-15 14:30:00+00:00,-0.0005677925361777802,2,1
baseline_no_shock,2021-2022,2021-04-15 14:30:00+00:00,2021-04-15 14:35:00+00:00,2021-04-15 14:40:00+00:00,-0.0006307847548682188,2,1
baseline_no_shock,2021-2022,2021-04-15 14:50:00+00:00,2021-04-15 15:00:00+00:00,2021-04-15 15:30:00+00:00,-0.003247988130251178,8,2
baseline_no_shock,2021-2022,2021-04-15 15:30:00+00:00,2021-04-15 15:35:00+00:00,2021-04-15 15:40:00+00:00,-2.068960328616143e-05,2,1
baseline_no_shock,2021-2022,2021-04-15 15:45:00+00:00,2021-04-15 20:15:00+00:00,2021-04-16 12:15:00+00:00,-0.009804380600998086,234,54
baseline_no_shock,2021-2022,2021-04-16 12:15:00+00:00,2021-04-16 12:20:00+00:00,2021-04-16 12:40:00+00:00,-0.004223617551290859,5,1
baseline_no_shock,2021-2022,2021-04-16 12:40:00+00:00,2021-04-21 13:25:00+00:00,2021-05-06 13:40:00+00:00,-0.05144315416355494,3876,837
baseline_no_shock,2021-2022,2021-05-06 14:05:00+00:00,2021-05-06 14:20:00+00:00,2021-05-06 14:50:00+00:00,-0.006023694416794068,9,3
baseline_no_shock,2021-2022,2021-05-06 15:00:00+00:00,2021-05-06 15:20:00+00:00,2021-05-06 15:25:00+00:00,-0.003214936247722955,5,4
baseline_no_shock,2021-2022,2021-05-06 15:30:00+00:00,2021-05-06 19:05:00+00:00,2021-05-07 03:05:00+00:00,-0.008136508907589213,127,43
baseline_no_shock,2021-2022,2021-05-07 03:10:00+00:00,2021-05-07 03:15:00+00:00,2021-05-07 03:20:00+00:00,-0.002876813175568649,2,1
baseline_no_shock,2021-2022,2021-05-07 03:20:00+00:00,2021-05-07 04:55:00+00:00,2021-05-07 05:20:00+00:00,-0.0034055307050113726,24,19
baseline_no_shock,2021-2022,2021-05-07 05:20:00+00:00,2021-05-07 05:25:00+00:00,2021-05-07 05:30:00+00:00,-0.0009921937167699513,2,1
baseline_no_shock,2021-2022,2021-05-07 05:30:00+00:00,2021-05-07 06:20:00+00:00,2021-05-07 07:20:00+00:00,-0.006435979205722031,22,10
baseline_no_shock,2021-2022,2021-05-07 07:20:00+00:00,2021-05-07 07:55:00+00:00,2021-05-07 08:30:00+00:00,-0.00406749470746004,14,7
baseline_no_shock,2021-2022,2021-05-07 08:40:00+00:00,2021-05-07 12:20:00+00:00,2021-05-07 12:35:00+00:00,-0.0089794185909996,47,44
baseline_no_shock,2021-2022,2021-05-07 12:55:00+00:00,2021-07-28 22:40:00+00:00,2022-02-11 20:25:00+00:00,-0.11209286783669214,54720,16017
baseline_no_shock,2021-2022,2022-02-11 20:25:00+00:00,2022-02-14 16:35:00+00:00,2022-02-15 02:40:00+00:00,-0.016107112077237473,339,230
baseline_no_shock,2021-2022,2022-02-15 02:40:00+00:00,2022-02-15 02:45:00+00:00,2022-02-15 02:50:00+00:00,-0.00034553618599419966,2,1
baseline_no_shock,2021-2022,2022-02-15 02:50:00+00:00,2022-02-15 03:00:00+00:00,2022-02-15 03:05:00+00:00,-0.00019494721195045805,3,2
baseline_no_shock,2021-2022,2022-02-15 03:05:00+00:00,2022-02-15 03:10:00+00:00,2022-02-15 03:15:00+00:00,-0.00039139998556148026,2,1
baseline_no_shock,2021-2022,2022-02-15 03:15:00+00:00,2022-02-15 03:20:00+00:00,2022-02-15 03:25:00+00:00,-0.0008414442590990445,2,1
baseline_no_shock,2021-2022,2022-02-15 03:30:00+00:00,2022-02-15 03:40:00+00:00,2022-02-15 06:20:00+00:00,-0.0038611878698392443,34,2
baseline_no_shock,2021-2022,2022-02-15 06:20:00+00:00,2022-02-16 15:35:00+00:00,2022-02-17 08:40:00+00:00,-0.024241925351471516,580,387
baseline_no_shock,2021-2022,2022-02-17 08:45:00+00:00,2022-02-17 08:50:00+00:00,2022-02-17 08:55:00+00:00,-0.0003577288881628782,2,1
baseline_no_shock,2021-2022,2022-02-17 08:55:00+00:00,2022-02-17 09:00:00+00:00,2022-02-17 09:05:00+00:00,-0.0005847559227047938,2,1
baseline_no_shock,2021-2022,2022-02-17 09:10:00+00:00,2022-02-17 09:15:00+00:00,2022-02-17 09:20:00+00:00,-0.00016362792387991654,2,1
baseline_no_shock,2021-2022,2022-02-17 09:20:00+00:00,2022-02-17 09:25:00+00:00,2022-02-17 09:30:00+00:00,-0.002869166850642868,2,1
baseline_no_shock,2021-2022,2022-02-17 09:30:00+00:00,2022-02-17 11:40:00+00:00,2022-02-17 13:35:00+00:00,-0.015706569157185934,49,26
baseline_no_shock,2021-2022,2022-02-17 13:35:00+00:00,2022-02-17 13:40:00+00:00,2022-02-17 13:45:00+00:00,-0.0006020500357231118,2,1
baseline_no_shock,2021-2022,2022-02-17 13:45:00+00:00,2022-02-17 14:20:00+00:00,2022-02-17 17:15:00+00:00,-0.015055163277708061,42,7
baseline_no_shock,2021-2022,2022-02-17 17:20:00+00:00,2022-02-17 17:25:00+00:00,2022-02-17 17:40:00+00:00,-0.0018487400646085561,4,1
baseline_no_shock,2021-2022,2022-02-17 17:50:00+00:00,2022-02-17 18:10:00+00:00,2022-02-17 18:30:00+00:00,-0.0035724058253018276,8,4
baseline_no_shock,2021-2022,2022-02-17 18:35:00+00:00,2022-02-17 19:00:00+00:00,2022-02-17 19:35:00+00:00,-0.005012950121145998,12,5
baseline_no_shock,2021-2022,2022-02-17 19:35:00+00:00,2022-02-17 20:10:00+00:00,2022-02-18 00:20:00+00:00,-0.0049766729001607946,45,7
baseline_no_shock,2021-2022,2022-02-18 00:30:00+00:00,2022-02-18 20:10:00+00:00,2022-02-21 23:05:00+00:00,-0.022644124005378408,505,236
baseline_no_shock,2021-2022,2022-02-21 23:15:00+00:00,2022-02-21 23:35:00+00:00,2022-02-22 00:15:00+00:00,-0.006425536151589362,12,4
baseline_no_shock,2021-2022,2022-02-22 00:15:00+00:00,2022-02-23 20:30:00+00:00,2022-02-24 03:05:00+00:00,-0.025211164801245856,586,519
baseline_no_shock,2021-2022,2022-02-24 03:10:00+00:00,2022-02-24 03:15:00+00:00,2022-02-24 03:25:00+00:00,-0.006047154569738256,3,1
baseline_no_shock,2021-2022,2022-02-24 03:25:00+00:00,2022-02-24 03:30:00+00:00,2022-02-24 03:35:00+00:00,-8.268815897105597e-06,2,1
baseline_no_shock,2021-2022,2022-02-24 03:35:00+00:00,2022-02-24 03:55:00+00:00,2022-02-24 04:10:00+00:00,-0.005803075712440875,7,4
baseline_no_shock,2021-2022,2022-02-24 04:20:00+00:00,2022-02-24 05:00:00+00:00,2022-02-24 09:40:00+00:00,-0.018033755470453272,64,8
baseline_no_shock,2021-2022,2022-02-24 09:40:00+00:00,2022-02-24 09:45:00+00:00,2022-02-24 09:50:00+00:00,-0.0005120929960880094,2,1
baseline_no_shock,2021-2022,2022-02-24 10:05:00+00:00,2022-02-24 10:10:00+00:00,2022-02-24 10:15:00+00:00,-0.0004955385721853167,2,1
baseline_no_shock,2021-2022,2022-02-24 10:25:00+00:00,2022-02-24 10:35:00+00:00,2022-02-24 10:55:00+00:00,-0.008231121198659319,6,2
baseline_no_shock,2021-2022,2022-02-24 11:00:00+00:00,2022-03-01 09:05:00+00:00,2022-03-08 15:10:00+00:00,-0.07181113920548476,2258,805
baseline_no_shock,2021-2022,2022-03-08 15:10:00+00:00,2022-03-08 15:15:00+00:00,2022-03-08 15:25:00+00:00,-0.008520362322651076,3,1
baseline_no_shock,2021-2022,2022-03-08 15:45:00+00:00,2022-03-08 16:00:00+00:00,2022-03-08 17:00:00+00:00,-0.025645301952930133,15,3
baseline_no_shock,2021-2022,2022-03-08 17:00:00+00:00,2022-10-03 14:45:00+00:00,2022-12-30 22:00:00+00:00,-0.1275748556109677,58106,40713
baseline_no_shock,2023-2025,2023-01-04 02:15:00+00:00,2023-01-04 02:25:00+00:00,2023-01-04 02:40:00+00:00,-0.0017923770205318101,5,2
baseline_no_shock,2023-2025,2023-01-04 02:40:00+00:00,2023-01-04 02:45:00+00:00,2023-01-04 02:50:00+00:00,-0.00012938155616171176,2,1
baseline_no_shock,2023-2025,2023-01-04 02:50:00+00:00,2023-01-04 02:55:00+00:00,2023-01-04 03:00:00+00:00,-0.0007954895741144608,2,1
baseline_no_shock,2023-2025,2023-01-04 03:05:00+00:00,2023-01-04 03:55:00+00:00,2023-01-04 05:00:00+00:00,-0.0022229279136231073,23,10
baseline_no_shock,2023-2025,2023-01-04 05:00:00+00:00,2023-01-04 05:05:00+00:00,2023-01-04 05:10:00+00:00,-0.0014009159529798643,2,1
baseline_no_shock,2023-2025,2023-01-04 05:10:00+00:00,2023-01-04 05:30:00+00:00,2023-01-04 06:10:00+00:00,-0.003755837813659846,12,4
baseline_no_shock,2023-2025,2023-01-04 06:20:00+00:00,2023-01-04 06:25:00+00:00,2023-01-04 06:30:00+00:00,-0.00013150570072295586,2,1
baseline_no_shock,2023-2025,2023-01-04 06:30:00+00:00,2023-01-04 06:50:00+00:00,2023-01-04 07:05:00+00:00,-0.0037166269633376325,7,4
baseline_no_shock,2023-2025,2023-01-04 07:15:00+00:00,2023-01-04 07:20:00+00:00,2023-01-04 07:30:00+00:00,-0.0006489803142636363,3,1
baseline_no_shock,2023-2025,2023-01-04 07:45:00+00:00,2023-01-04 07:50:00+00:00,2023-01-04 08:00:00+00:00,-0.0029264372301052166,3,1
baseline_no_shock,2023-2025,2023-01-04 08:05:00+00:00,2023-01-04 08:10:00+00:00,2023-01-04 08:20:00+00:00,-0.0014826305909345638,3,1
baseline_no_shock,2023-2025,2023-01-04 08:30:00+00:00,2023-01-06 16:20:00+00:00,2023-01-09 01:40:00+00:00,-0.02163141217203457,746,646
baseline_no_shock,2023-2025,2023-01-09 02:05:00+00:00,2023-01-09 02:10:00+00:00,2023-01-09 02:15:00+00:00,-0.0004191174719596624,2,1
baseline_no_shock,2023-2025,2023-01-09 02:25:00+00:00,2023-01-09 02:30:00+00:00,2023-01-09 02:40:00+00:00,-0.0003007670032979526,3,1
baseline_no_shock,2023-2025,2023-01-09 02:40:00+00:00,2023-01-09 02:45:00+00:00,2023-01-09 02:50:00+00:00,-0.0006911995152134587,2,1
baseline_no_shock,2023-2025,2023-01-09 02:50:00+00:00,2023-01-09 02:55:00+00:00,2023-01-09 03:00:00+00:00,-0.00028099322115637815,2,1
baseline_no_shock,2023-2025,2023-01-09 03:00:00+00:00,2023-01-09 05:05:00+00:00,2023-01-09 06:15:00+00:00,-0.007782928793717114,39,25
baseline_no_shock,2023-2025,2023-01-09 06:15:00+00:00,2023-01-09 07:05:00+00:00,2023-01-09 07:20:00+00:00,-0.00466604704584439,13,10
baseline_no_shock,2023-2025,2023-01-09 07:20:00+00:00,2023-02-28 21:00:00+00:00,2023-03-12 22:05:00+00:00,-0.09256944405165157,12241,10022
baseline_no_shock,2023-2025,2023-03-12 22:15:00+00:00,2023-03-13 10:55:00+00:00,2023-03-13 13:45:00+00:00,-0.04681796324654064,186,152
baseline_no_shock,2023-2025,2023-03-13 13:45:00+00:00,2023-03-13 14:00:00+00:00,2023-03-13 14:15:00+00:00,-0.019793609124649225,6,3
baseline_no_shock,2023-2025,2023-03-13 14:15:00+00:00,2023-03-13 14:40:00+00:00,2023-03-13 14:45:00+00:00,-0.004720852558644628,6,5
baseline_no_shock,2023-2025,2023-03-13 14:50:00+00:00,2023-03-13 15:05:00+00:00,2023-03-13 15:30:00+00:00,-0.005696178080136116,8,3
baseline_no_shock,2023-2025,2023-03-13 15:30:00+00:00,2023-03-13 15:50:00+00:00,2023-03-13 17:20:00+00:00,-0.01477725507303329,22,4
baseline_no_shock,2023-2025,2023-03-13 17:20:00+00:00,2023-03-13 18:15:00+00:00,2023-03-13 19:35:00+00:00,-0.006914101068126732,27,11
baseline_no_shock,2023-2025,2023-03-13 19:45:00+00:00,2023-03-15 15:50:00+00:00,2023-03-15 16:20:00+00:00,-0.008695068948864959,511,505
baseline_no_shock,2023-2025,2023-03-15 16:30:00+00:00,2023-03-15 16:35:00+00:00,2023-03-15 16:40:00+00:00,-0.0007280803157454496,2,1
baseline_no_shock,2023-2025,2023-03-15 16:45:00+00:00,2023-03-15 17:00:00+00:00,2023-03-15 17:05:00+00:00,-0.0017661587919474142,4,3
baseline_no_shock,2023-2025,2023-03-15 17:05:00+00:00,2023-03-16 15:25:00+00:00,2023-03-17 14:35:00+00:00,-0.06054265038661999,522,256
baseline_no_shock,2023-2025,2023-03-17 14:35:00+00:00,2023-03-17 14:40:00+00:00,2023-03-17 14:45:00+00:00,-0.0014697485661040455,2,1
baseline_no_shock,2023-2025,2023-03-17 14:45:00+00:00,2023-03-17 14:50:00+00:00,2023-03-17 14:55:00+00:00,-0.0007921765249624402,2,1
baseline_no_shock,2023-2025,2023-03-17 14:55:00+00:00,2023-03-17 15:20:00+00:00,2023-03-17 17:05:00+00:00,-0.011479040407389118,26,5
baseline_no_shock,2023-2025,2023-03-17 17:10:00+00:00,2023-03-17 17:15:00+00:00,2023-03-17 17:25:00+00:00,-0.004284157783944531,3,1
baseline_no_shock,2023-2025,2023-03-17 17:35:00+00:00,2023-03-17 17:40:00+00:00,2023-03-17 17:50:00+00:00,-0.000732609028948894,3,1
baseline_no_shock,2023-2025,2023-03-17 17:55:00+00:00,2023-03-17 18:00:00+00:00,2023-03-17 18:05:00+00:00,-0.0020109448143998954,2,1
baseline_no_shock,2023-2025,2023-03-17 18:05:00+00:00,2023-03-17 18:10:00+00:00,2023-03-17 18:15:00+00:00,-0.0028511199219838357,2,1
baseline_no_shock,2023-2025,2023-03-17 18:30:00+00:00,2023-03-17 18:35:00+00:00,2023-03-17 18:45:00+00:00,-0.001929791292514138,3,1
baseline_no_shock,2023-2025,2023-03-17 18:55:00+00:00,2023-03-17 19:45:00+00:00,2023-03-17 21:00:00+00:00,-0.020714232303937985,25,10
baseline_no_shock,2023-2025,2023-03-17 21:00:00+00:00,2023-03-20 05:20:00+00:00,2023-03-20 06:05:00+00:00,-0.02511030832222283,97,88
baseline_no_shock,2023-2025,2023-03-20 06:05:00+00:00,2023-03-20 06:15:00+00:00,2023-03-20 07:05:00+00:00,-0.01210794106025126,12,2
baseline_no_shock,2023-2025,2023-03-20 07:10:00+00:00,2023-03-20 07:15:00+00:00,2023-03-20 07:20:00+00:00,-0.0034452949903461816,2,1
baseline_no_shock,2023-2025,2023-03-20 07:35:00+00:00,2023-03-20 07:40:00+00:00,2023-03-20 07:45:00+00:00,-0.0009006760407034298,2,1
baseline_no_shock,2023-2025,2023-03-20 07:45:00+00:00,2023-03-23 15:05:00+00:00,2023-04-13 08:35:00+00:00,-0.0664352119454581,4702,916
baseline_no_shock,2023-2025,2023-04-13 08:35:00+00:00,2023-04-13 11:15:00+00:00,2023-04-13 12:05:00+00:00,-0.005158983296808195,42,32
baseline_no_shock,2023-2025,2023-04-13 12:05:00+00:00,2023-04-13 12:15:00+00:00,2023-04-13 12:20:00+00:00,-0.0015015168760913467,3,2
baseline_no_shock,2023-2025,2023-04-13 12:20:00+00:00,2023-04-13 12:25:00+00:00,2023-04-13 12:40:00+00:00,-0.001530475490908123,4,1
baseline_no_shock,2023-2025,2023-04-13 13:00:00+00:00,2023-04-13 13:45:00+00:00,2023-04-13 14:00:00+00:00,-0.006943654636984431,12,9
baseline_no_shock,2023-2025,2023-04-13 14:00:00+00:00,2023-07-17 13:10:00+00:00,2023-10-18 01:50:00+00:00,-0.16861042603463183,36704,18392
baseline_no_shock,2023-2025,2023-10-18 01:50:00+00:00,2023-10-18 01:55:00+00:00,2023-10-18 02:10:00+00:00,-0.0022308122687511034,4,1
baseline_no_shock,2023-2025,2023-10-18 02:10:00+00:00,2023-10-18 02:20:00+00:00,2023-10-18 02:30:00+00:00,-0.001286755945289375,4,2
baseline_no_shock,2023-2025,2023-10-18 02:30:00+00:00,2023-10-18 06:50:00+00:00,2023-10-18 09:35:00+00:00,-0.010290302361929737,85,52
baseline_no_shock,2023-2025,2023-10-18 09:45:00+00:00,2023-10-18 10:25:00+00:00,2023-10-18 11:00:00+00:00,-0.0028300171540148744,15,8
baseline_no_shock,2023-2025,2023-10-18 11:10:00+00:00,2023-10-18 11:20:00+00:00,2023-10-18 11:25:00+00:00,-7.899455727533589e-05,3,2
baseline_no_shock,2023-2025,2023-10-18 11:35:00+00:00,2023-10-18 11:50:00+00:00,2023-10-18 12:05:00+00:00,-0.0039832471859890806,6,3
baseline_no_shock,2023-2025,2023-10-18 12:10:00+00:00,2023-10-18 12:20:00+00:00,2023-10-18 12:25:00+00:00,-0.002436168457119803,3,2
baseline_no_shock,2023-2025,2023-10-18 12:25:00+00:00,2023-10-18 12:45:00+00:00,2023-10-18 13:25:00+00:00,-0.004914004914005066,12,4
baseline_no_shock,2023-2025,2023-10-18 13:45:00+00:00,2023-10-18 15:15:00+00:00,2023-10-19 17:20:00+00:00,-0.027453316212076917,319,18
baseline_no_shock,2023-2025,2023-10-19 17:35:00+00:00,2023-10-19 17:50:00+00:00,2023-10-19 18:00:00+00:00,-0.003689895569138235,5,3
