i,churn.min_on_bars,churn.cooldown_bars,ok,sum_pnl,worst_maxdd,avg_sharpe,maxdd_violation
35,3,8,True,534.7180999999996,-16.20832074934533,4.289698609768908,0.0
32,3,5,True,532.3872499999994,-16.14210976214029,4.103523887990344,0.0
33,3,6,True,531.6939499999996,-16.188478075548186,4.1032572389108815,0.0
31,3,4,True,529.0671999999995,-16.090764730269036,4.080019523776188,0.0
34,3,7,True,528.8453999999997,-16.218073709187408,4.0940000795354115,0.0
27,3,0,True,526.6437999999994,-16.086257571209238,4.110173338916576,0.0
28,3,1,True,526.6437999999994,-16.086257571209238,4.110173338916576,0.0
29,3,2,True,526.6437999999994,-16.086257571209238,4.110173338916576,0.0
30,3,3,True,526.6437999999994,-16.086257571209238,4.110173338916576,0.0
49,4,9,True,522.4469499999989,-17.774719927753623,4.2248110209646805,0.0
