i,pipeline.1.params.ema,pipeline.1.params.lookback,pipeline.1.params.min_closes,pipeline.1.params.entry_held,ok,sum_pnl,worst_maxdd,avg_sharpe,maxdd_violation
1,15,30,18,False,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
2,15,30,18,True,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
3,15,30,24,False,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
4,15,30,24,True,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
5,15,30,28,False,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
6,15,30,28,True,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
7,15,40,18,False,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
8,15,40,18,True,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
9,15,40,24,False,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
10,15,40,24,True,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
11,15,40,28,False,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
12,15,40,28,True,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
13,15,50,18,False,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
14,15,50,18,True,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
15,15,50,24,False,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
16,15,50,24,True,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
17,15,50,28,False,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
18,15,50,28,True,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
19,20,30,18,False,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
20,20,30,18,True,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
