i,pipeline.0.params.ema_fast,pipeline.0.params.ema_slow,pipeline.0.params.atr_n,pipeline.0.params.sep_k,pipeline.1.params.min_closes,pipeline.1.params.entry_held,ok,sum_pnl,worst_maxdd,avg_sharpe,maxdd_violation
51,50,300,20,0.065,22,False,True,407.1236999999853,-18.94926694686895,1.3389580287525076,0.0
49,50,300,20,0.065,20,False,True,405.22009999998465,-17.202392444338464,1.4012708669450662,0.0
57,50,300,20,0.07,22,False,True,405.0514499999849,-18.933398339833417,1.3285938502804273,0.0
55,50,300,20,0.07,20,False,True,402.92884999998466,-17.150047859202967,1.3901582078400894,0.0
45,50,300,20,0.06,22,False,True,402.07044999998453,-18.90172281149156,1.3217069252892637,0.0
33,50,300,20,0.05,22,False,True,401.25809999998467,-19.013966626564173,1.3194218957402581,0.0
43,50,300,20,0.06,20,False,True,401.23914999998465,-17.110986619686507,1.3896717533484064,0.0
39,50,300,20,0.055,22,False,True,400.6396999999847,-19.08531741143531,1.3142295189650568,0.0
31,50,300,20,0.05,20,False,True,400.60549999998466,-17.012716671226958,1.388402261100535,0.0
37,50,300,20,0.055,20,False,True,399.8083999999847,-17.074452960715004,1.382477921337536,0.0
53,50,300,20,0.065,24,False,True,398.75939999998553,-19.385230767094797,1.3691552529952442,0.0
59,50,300,20,0.07,24,False,True,397.4328499999856,-19.369718981881647,1.3627256322356793,0.0
21,40,300,20,0.065,22,False,True,396.8864499999868,-18.697042402778663,1.3067035216570004,0.0
15,40,300,20,0.06,22,False,True,396.5884999999867,-18.43235804263289,1.3068563248051306,0.0
9,40,300,20,0.055,22,False,True,396.5017999999867,-18.43235804263289,1.3065100861145342,0.0
3,40,300,20,0.05,22,False,True,395.83999999998645,-18.428964081138478,1.306441195711552,0.0
47,50,300,20,0.06,24,False,True,394.62814999998545,-19.469060672501726,1.3550459214018085,0.0
35,50,300,20,0.05,24,False,True,393.7069999999853,-19.477193233361987,1.3509383675197228,0.0
27,40,300,20,0.07,22,False,True,393.4491499999866,-18.72368074472488,1.2943313917254338,0.0
41,50,300,20,0.055,24,False,True,392.8575999999853,-19.547013820003578,1.345776544854055,0.0
13,40,300,20,0.06,20,False,True,392.2671499999868,-17.052923853062886,1.3641061779504102,0.0
7,40,300,20,0.055,20,False,True,391.9864499999868,-17.052923853062886,1.3627600866011185,0.0
1,40,300,20,0.05,20,False,True,391.3246499999866,-17.049944731727052,1.3624292831113194,0.0
19,40,300,20,0.065,20,False,True,391.1057499999868,-17.308801186636448,1.361172710900238,0.0
23,40,300,20,0.065,24,False,True,389.9288999999877,-19.36224405335354,1.3507412115899713,0.0
17,40,300,20,0.06,24,False,True,389.56904999998756,-19.39487355889321,1.3497879314110193,0.0
11,40,300,20,0.055,24,False,True,389.4823499999876,-19.39487355889321,1.349371833438822,0.0
5,40,300,20,0.05,24,False,True,388.8523999999873,-19.391583230002418,1.3494348785722554,0.0
29,40,300,20,0.07,24,False,True,388.24459999998766,-19.3561633818655,1.3455798360520768,0.0
25,40,300,20,0.07,20,False,True,387.66844999998665,-17.33495491219792,1.3491066854245504,0.0
